route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,10,10064,15 Esquimalt - Fort/Yates Exp,,0,65647,62,0,0
14,2,10065,15 Esquimalt - Fort/Yates Exp,,0,65319,62,0,0
14,3,10066,15 Esquimalt - Fort/Yates Exp,,0,64889,62,0,0
14,2,10067,15 Esquimalt - Fort/Yates Exp,,0,65523,62,0,0
14,2,10068,15 Esquimalt - Fort/Yates Exp,,0,65591,62,0,0
14,10,10069,15 Esquimalt - Fort/Yates Exp,,0,65655,62,0,0
14,2,10070,15 Esquimalt - Fort/Yates Exp,,0,65625,62,0,0
14,10,10071,15 Esquimalt - Fort/Yates Exp,,0,65641,62,0,0
14,10,10072,15 Esquimalt - Fort/Yates Exp,,0,65685,62,0,0
14,2,10073,15 Esquimalt - Fort/Yates Exp,,0,65620,62,0,0
14,7,10074,15 Esquimalt - Fort/Yates Exp,,0,65767,62,0,0
14,2,10075,15 Esquimalt - Fort/Yates Exp,,0,65339,62,0,0
14,2,10076,15 Esquimalt - Fort/Yates Exp,,0,65327,62,0,0
14,2,10077,15 Esquimalt - Fort/Yates Exp,,0,65373,62,0,0
14,7,10078,15 Esquimalt - Fort/Yates Exp,,0,65808,62,0,0
14,7,10079,15 Esquimalt - Fort/Yates Exp,,0,65801,62,0,0
14,7,10080,15 Esquimalt - Fort/Yates Exp,,0,65797,62,0,0
14,2,10081,15 Esquimalt - Fort/Yates Exp,,0,65501,62,0,0
14,9,10082,15 Esquimalt - Fort/Yates Exp,,0,65915,62,0,0
14,2,10083,15 Esquimalt - Fort/Yates Exp,,0,65570,62,0,0
14,7,10084,15 Esquimalt - Fort/Yates Exp,,0,65757,62,0,0
14,3,10085,15 Esquimalt - Fort/Yates Exp,,0,64926,62,0,0
14,7,10086,15 Esquimalt - Fort/Yates Exp,,0,65816,62,0,0
14,7,10087,15 Esquimalt - Fort/Yates Exp,,0,65816,62,0,0
14,10,10088,15 Esquimalt - Fort/Yates Exp,,0,65714,62,0,0
14,7,10089,15 Esquimalt - Fort/Yates Exp,,0,65804,62,0,0
14,7,10090,15 Esquimalt - Fort/Yates Exp,,0,65820,62,0,0
14,7,10091,15 Esquimalt - Fort/Yates Exp,,0,65771,62,0,0
14,7,10092,15 Esquimalt - Fort/Yates Exp,,0,65785,62,0,0
14,7,10093,15 Esquimalt - Fort/Yates Exp,,0,65752,62,0,0
14,7,10094,15 Esquimalt - Fort/Yates Exp,,0,65787,62,0,0
14,7,10095,15 Esquimalt - Fort/Yates Exp,,0,65802,62,0,0
14,9,10096,15 Esquimalt - Fort/Yates Exp,,0,65905,62,0,0
14,9,10097,15 Esquimalt - Fort/Yates Exp,,0,65935,62,0,0
