stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
246,100301,Hillside at Blackwood,,48.440102,-123.353483,,,0,,2
247,100322,Hillside at Cook,,48.440415,-123.351205,,,0,,2
248,100337,Hillside at Higgins,,48.440841,-123.348779,,,0,,2
249,100385,Hillside at Cedar Hill,,48.441036,-123.345454,,,0,,2
250,100442,Hillside at Gosworth,,48.442269,-123.341669,,,0,,2
251,100514,Hillside at Doncaster,,48.443841,-123.337704,,,0,,2
252,100566,Hillside at Shakespeare - Hillside Ctr.,,48.444817,-123.335207,,,0,,2
253,100618,Hillside at Shelbourne,,48.445836,-123.332646,,,0,,2
254,100653,Lansdowne at Richmond,,48.446074,-123.32785,,,0,,2
255,100763,Camosun College main entrance,,48.448,-123.320356,,,0,,2
256,100827,Foul Bay at University Woods,,48.449544,-123.318019,,,0,,2
257,100864,Henderson at Dundrum,,48.451296,-123.316008,,,0,,2
258,100913,Henderson at Kendal,,48.453544,-123.314867,,,0,,2
259,100937,Henderson at Avondale,,48.455456,-123.314264,,,0,,2
260,100951,Henderson at Frederick Norris,,48.457909,-123.315693,,,0,,2
261,100071,University Dr at Ring Rd,,48.459773,-123.314519,,,0,,2
262,101036,Ring Rd. at Parking Lot '1',,48.461773,-123.308363,,,0,,2
263,102420,UVic Exchange,,48.465923,-123.308732,,,0,,2
264,101430,Royal Oak Exch - Commonwealth Place,,48.498481,-123.388669,,,0,,2
265,101352,West Saanich at Elk Lake Dr.,,48.495795,-123.389639,,,0,,2
266,101318,West Saanich at Royal Oak Shopping Ctr,,48.492801,-123.387518,,,0,,2
267,102008,"West Saanich, 4392 block",,48.489384,-123.386275,,,0,,2
268,101164,Quadra at Chatterton,,48.485276,-123.381812,,,0,,2
269,101140,Quadra at Caen,,48.484049,-123.380293,,,0,,2
270,101086,Quadra at Beckwith,,48.481182,-123.378229,,,0,,2
271,101027,Quadra at Rogers,,48.477778,-123.375417,,,0,,2
272,101000,Quadra at Ambassador,,48.475816,-123.373002,,,0,,2
273,100974,Quadra at Saanich,,48.473289,-123.370379,,,0,,2
274,100925,Quadra at McKenzie,,48.470481,-123.365475,,,0,,2
275,100885,Quadra at Greenridge,,48.468456,-123.363458,,,0,,2
276,100828,Quadra at Hulford,,48.465693,-123.361199,,,0,,2
277,100771,Quadra at Lodge,,48.462476,-123.359992,,,0,,2
278,100713,Quadra at Rock,,48.459958,-123.360555,,,0,,2
279,100647,Quadra at Tattersall Dr,,48.45786,-123.360034,,,0,,2
280,100614,Quadra at Cook,,48.455196,-123.359771,,,0,,2
281,100520,Quadra at Inverness,,48.45154,-123.361085,,,0,,2
282,100445,Quadra at Tolmie,,48.448754,-123.361953,,,0,,2
283,100389,Quadra at Finlayson,,48.445958,-123.361179,,,0,,2
284,100333,Quadra at Summit,,48.443652,-123.360495,,,0,,2
285,100304,Quadra at Topaz,,48.442072,-123.360042,,,0,,2
286,100257,Quadra at Hillside,,48.43911,-123.35921,,,0,,2
287,100233,Quadra at Kings,,48.437672,-123.35881,,,0,,2
288,100193,Quadra at Bay,,48.435029,-123.358161,,,0,,2
289,100166,Quadra at Princess - Crystal Pool,,48.43283,-123.358458,,,0,,2
290,100145,Quadra at Caledonia,,48.430537,-123.358762,,,0,,2
291,100135,Quadra at North Park,,48.429616,-123.358904,,,0,,2
292,100101,Quadra at Pandora,,48.427277,-123.359052,,,0,,2
293,100271,Quadra at Hillside,,48.44006,-123.359255,,,0,,2
294,100315,Quadra at Topaz,,48.442869,-123.360068,,,0,,2
295,100344,Quadra at Spruce,,48.444255,-123.360461,,,0,,2
296,100401,Quadra at Finlayson,,48.446829,-123.361186,,,0,,2
297,100455,Quadra at Tolmie,,48.449319,-123.361707,,,0,,2
298,100540,Quadra at Holmes,,48.452321,-123.360601,,,0,,2
299,100599,Quadra at Cook / Cloverdale,,48.454338,-123.359879,,,0,,2
300,100655,Quadra at Tattersall Dr,,48.45827,-123.359877,,,0,,2
301,100746,Quadra at Rock,,48.460466,-123.360477,,,0,,2
302,100782,Quadra at Lodge,,48.463094,-123.359508,,,0,,2
303,100853,Quadra at Reynolds,,48.466817,-123.361911,,,0,,2
304,100895,Quadra at Greenridge,,48.468744,-123.363427,,,0,,2
305,100923,Quadra at McKenzie,,48.470453,-123.365055,,,0,,2
306,100977,Quadra at Saanich,,48.473399,-123.370266,,,0,,2
